OCLC ID,Language (English),Personal name (Tamil),Personal name (Tamil),Personal name_transliteration (English),Personal name_transliteration (English),Title (Tamil),Title (Tamil),Title_transliteration (English),Title_transliteration (English),Edition (Tamil),Edition (English),Type of resource (Tamil),Type of resource (English),Publisher (Tamil),Publisher_transliteration (English),Place of publication (Tamil),Place of publication (English),Date,Physical description,Physical description,Physical description,Personal name_other (Tamil),Personal name_other_transliteration (English),General note,Description/ Summary,Subject,Contributor (Tamil),Contributor_transliteration (English),Contributor role (Tamil),Contributor role (English),Barcode
35,41,100 $a ,100 $a ,100 $a,100 $a ,245 $a ,245 $a ,245 $a ,245 $a ,250 $a,250 $a,,,260 $b,260 $b,260 $a,260 $a,260 $c,300 $a,300 $b,300 $c,500 $a ,500 $a ,500 $a,520,653,700 $a ,700 $a ,700 $e ,700 $e ,949
"_,_","_,_","0,_","1,_","0,_","1,_","1,0","0,0","1,0","0,0","_,_","_,_",,,"_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","_,_","1,_","1,_","1,_","1,_","_,_"
426086773,tam,,,,,,அஃக் : தேசிய விருது பெற்ற கலை இலக்கிய சிற்றிதழ் தொகுப்பு,,,முதற் பதிப்பு,First edition,நூல்,Book,சந்தியா பதிப்பகம்,,சென்னை,Chennai,2006,736 pages,illustrations,22 cm,,,From the collection of Pathmanabha Iyer.,தேசிய விருது பெற்ற கலை இலக்கிய சிற்றிதழ் தொகுப்பு.,Tamil literature.,"பரந்தாமன், என்.",,தொகுப்பாசிரியர்,editor,31761111570297
423047283,tam,,"அகத்தியலிங்கம், சு. பொ.",,"Akattiyaliṅkam, Cu. Po.",விடுதலைத் தழும்புகள் : இந்திய சுதந்திர வரலாறு,,,,முதற் பதிப்பு,First edition,நூல்,Book,தமிழ்ப் புத்தகாலயம்,,சென்னை,Chennai,1998,[652] pages,,,"பொன்னப்பபிள்ளை, சு.",,From the collection of Pathmanabha Iyer.,,History. ,,,,,31761111570289
308623070,tam,அகளங்கன்,,Akaḷaṅkan̲,,கவிஞர் ஜின்னாஹ்வின் இரட்டைக் காப்பியங்கள் : ஓர் ஆய்வு,,,,முதற் பதிப்பு,First edition,நூல்,Book,அன்னை வெளியீட்டகம்,,தெகிவளை,Dehiwala,1999,"xvi, 104 pages",,18 cm,"தர்மராஜா, என்.",,From the collection of Pathmanabha Iyer.,,Tamil literature. ,,,,,31761111570271
950480378,tam,அசோகமித்திரன்,,Acōkamittiran̲,,யுத்தங்களுக்கிடையில்...,,Yuttaṅkaḷukkiṭaiyil...,,முதற் பதிப்பு,First edition,நூல்,Book,நர்மதா பதிப்பகம்,,சென்னை,Chennai,2010,111 pages,,22 cm,"தியாகராஜன், ஜ.",,From the collection of Pathmanabha Iyer.,Story of a family's survival through the Sri Lankan civil war.,Fiction.,,,,,31761111570206
963222141,tam,,"அதியமான், பழ.",,,சக்தி வை. கோவிந்தன் : தமிழின் முன்னோடிப் பதிப்பாளுமை,,,,முதற் பதிப்பு,First edition,நூல்,Book,காலச்சுவடு பதிப்பகம்,,நாகர்கோவில்,Nagercoil,2008,232 pages,,22 cm,,,From the collection of Pathmanabha Iyer.,,Biography. ,,,,,31761111570214
969648610,tam,அம்பை,,Ampai,,அம்பை சிறுகதைகள் : 1972 - 2000,,,,முதற் பதிப்பு,First edition,நூல்,Book,காலச்சுவடு பதிப்பகம்,,நாகர்கோவில்,Nagercoil,2007,517 pages,,21 cm,"லக்‌ஷ்மி, சி. எஸ்.",,From the collection of Pathmanabha Iyer.,Selected short stories of a Tamil woman author.,Short stories. ,,,,,31761111570222
423036230,tam,,"அருணாசலம், க.",,"Aruṇācalam, Ka",இலங்கையின் மலையகத் தமிழ் நாவல்கள் : ஓர் அறிமுகம்,,Ilaṅkaiyin̲ malaiyakat Tamil̲ nāvalkaḷ : ōr ar̲imukam,,முதற் பதிப்பு,First edition,நூல்,Book,குமரன் புத்தக இல்லம்,,கொழும்பு - சென்னை,Colombo - Chennai,1999,537 pages,,,,,From the collection of Pathmanabha Iyer.,,Tamil literature.,,,,,31761111570230
308870512,tam,,"அய்யனார், பெ.",,"Ayyan̲ār, Pe",அலை புரளும் வாழ்க்கை : சென்னை - சில சித்திரங்கள்,,Alai puraḷum vāl̲kkai : Cen̲n̲ai - cila cittiraṅkaḷ,,முதற் பதிப்பு,First edition,நூல்,Book,காலச்சுவடு பதிப்பகம்,,நாகர்கோவில்,Nagercoil,2003,127 pages,,22 cm,,,From the collection of Pathmanabha Iyer.,,Urbanization. ,,,,,31761111570248
422852921,tam,,"அய்லய்யா, காஞ்சா",,,"நான் ஏன் இந்து அல்ல : இந்துத்துவா பற்றிய ஒரு சூத்திர விமர்சனம் : தத்துவம், பண்பாடு மற்றும் அரசியற் பொருளாதாரம்",,,,முதற் பதிப்பு,First edition,நூல்,Book,அடையாளம் வெளியீடு,,புத்தாநத்தம்,Puthanatham,2001,183 pages,,21 cm,,,From the collection of Pathmanabha Iyer.,,Hinduism. ,"முருகுபாண்டியன், ராஜவேல்|தங்கவேலு, மு.",,மொழிபெயர்ப்பாளர்|மொழிபெயர்ப்பாளர்,translator|translator,31761111570255
298403463,tam,,"இரத்தினம், அப்புத்துரை",,Irattin̲am Apputturai,மழலைத் தமிழ்ப்பாடல்,,Mal̲alait tamil̲p pāṭal,,முதற் பதிப்பு,First edition,நூல்,Book,பண்டிதர் சி. அப்புத்துரை இரத்தினம் தம்பதிகளின் பவள விழாத்தின வெளியீடு,,இளவாலை,Ilavalai,2003,"x, 50 pages",color illustrations,25 cm,,,From the collection of Pathmanabha Iyer.,,Nursery rhymes. ,,,,,31761111570263